id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose
229,4/4/2002,Jan-00,1,0,10,3,6,1,57,490,424,87,10,14,12,15,86,13,43,9,21,19,56,34,17,8,7,1,0,0
229,4-2-3-1,Jan-00,0,1,6,4,2,0,43,371,292,79,6,24,15,12,63,17,57,21,9,12,50,24,22,13,6,0,0,1
230,3/4/2003,Feb-00,2,0,11,5,3,3,44.9,385,294,76,9,16,10,11,63,23,55,18,24,19,63,30,22,7,2,1,0,0
230,4-2-3-1,Feb-00,0,2,17,4,10,3,55.1,468,381,81,14,24,11,10,46,19,45,24,18,22,69,32,7,8,4,0,0,1
231,4-1-4-1,1-Jan,1,1,15,3,7,5,73.2,602,531,88,11,9,5,3,56,27,61,21,23,15,83,18,4,7,8,0,1,0
231,4-1-4-1,1-Jan,1,1,10,4,3,3,26.8,215,148,69,5,7,3,5,43,17,39,23,21,12,71,17,21,14,2,0,1,0
232,4/3/2003,0 - 2,0,2,8,3,4,1,53.9,461,381,83,4,23,16,5,70,22,69,16,16,26,84,31,14,9,5,0,0,1
232,3-4-2-1,0 - 2,2,0,10,4,4,2,46.1,403,321,80,9,17,5,16,29,10,31,16,16,19,54,35,15,8,4,1,0,0
233,4-1-4-1,1-Mar,3,1,21,11,5,5,71.4,731,653,89,17,16,11,8,69,17,52,11,22,11,58,19,8,12,7,1,0,0
233,4/4/2002,1-Mar,1,3,3,2,1,0,28.6,288,214,74,2,12,8,11,67,16,48,22,11,15,58,26,16,23,0,0,0,1
234,4/3/2003,0 - 0,0,0,14,1,11,2,52.4,419,350,84,9,16,14,17,88,12,46,12,14,27,61,44,14,8,3,0,1,0
234,4/4/2002,0 - 0,0,0,11,2,6,3,47.6,389,317,81,8,28,17,14,61,14,54,14,12,15,52,29,23,13,6,0,1,0
235,4-2-3-1,0 - 2,0,2,15,3,3,9,60.2,487,416,85,15,24,15,8,63,7,32,16,6,14,64,22,14,5,11,0,0,1
235,3-4-2-1,0 - 2,2,0,12,4,0,8,39.8,324,267,82,9,13,8,15,62,15,68,6,16,16,52,31,32,15,7,1,0,0
236,4-2-3-1,2-Feb,2,2,16,5,4,7,66,551,469,85,11,14,5,11,36,23,72,9,23,11,50,22,16,14,11,0,1,0
236,4/4/2002,2-Feb,2,2,10,4,3,3,34,282,187,66,5,14,11,5,79,9,28,23,9,17,77,22,26,15,4,0,1,0
237,4-2-3-1,1-Jan,1,1,13,4,6,3,42.9,324,249,77,13,22,18,9,82,7,30,16,7,11,55,20,9,14,10,0,1,0
237,4-2-3-1,1-Jan,1,1,11,3,5,3,57.1,441,364,83,11,17,9,18,53,16,70,7,16,14,44,32,17,9,4,0,1,0
238,4-1-4-1,1-Mar,1,3,9,1,4,4,55.2,572,513,90,3,14,8,11,57,8,40,4,16,8,42,19,5,8,6,0,0,1
238,4-2-3-1,1-Mar,3,1,14,8,6,0,44.8,468,416,89,9,18,11,8,61,12,60,16,4,12,60,20,15,10,0,1,0,0
239,4-2-3-1,0 - 0,0,0,16,5,10,1,48.9,337,262,78,13,15,5,10,33,26,57,19,27,17,63,27,17,7,9,0,1,0
239,4-2-3-1,0 - 0,0,0,9,1,4,4,51.1,373,284,76,8,14,10,5,71,20,43,27,19,18,78,23,17,12,5,0,1,0
